"OrphaCode","Name","DisorderGroup","gene_count","onset_count","inheritance_count","avg_prevalence"
93206,OBSOLETE: Idiopathic steroid-sensitive nephrotic syndrome with focal segmental hyalinosis,Subtype of disorder,0,0,0,
93207,OBSOLETE: Idiopathic steroid-sensitive nephrotic syndrome with minimal change,Subtype of disorder,0,0,0,
93209,OBSOLETE: Idiopathic steroid-sensitive nephrotic syndrome with diffuse mesangial proliferation,Subtype of disorder,0,0,0,
93213,OBSOLETE: Familial idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis,Subtype of disorder,0,0,0,
93214,OBSOLETE: Familial idiopathic steroid-resistant nephrotic syndrome with diffuse mesangial proliferation,Subtype of disorder,0,0,0,
93216,OBSOLETE: Familial idiopathic steroid-resistant nephrotic syndrome with minimal changes,Subtype of disorder,0,0,0,
93217,OBSOLETE: Familial idiopathic steroid-resistant nephrotic syndrome with diffuse mesangial sclerosis,Subtype of disorder,0,0,0,
93218,OBSOLETE: Sporadic idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis,Subtype of disorder,0,0,0,
93220,OBSOLETE: Sporadic idiopathic steroid-resistant nephrotic syndrome with diffuse mesangial sclerosis,Subtype of disorder,0,0,0,
93221,OBSOLETE: Sporadic idiopathic steroid-resistant nephrotic syndrome with minimal changes,Subtype of disorder,0,0,0,
93222,OBSOLETE: Sporadic idiopathic steroid-resistant nephrotic syndrome with diffuse mesangial proliferation,Subtype of disorder,0,0,0,
93256,Fragile X-associated tremor/ataxia syndrome,Disorder,1,1,1,2.1
93258,Pfeiffer syndrome type 1,Subtype of disorder,2,1,1,0.0
93259,Pfeiffer syndrome type 2,Subtype of disorder,1,1,1,0.0
93260,Pfeiffer syndrome type 3,Subtype of disorder,1,1,1,0.0
93262,Crouzon syndrome-acanthosis nigricans syndrome,Disorder,1,1,1,0.05
93267,Cloverleaf skull-multiple congenital anomalies syndrome,Disorder,0,1,1,1.5
93268,"Short rib-polydactyly syndrome, Beemer-Langer type",Disorder,2,1,1,
93269,"Short rib-polydactyly syndrome, Majewski type",Disorder,3,1,1,17.0
93270,"Short rib-polydactyly syndrome, Saldino-Noonan type",Disorder,1,1,1,
93271,"Short rib-polydactyly syndrome, Verma-Naumoff type",Disorder,5,1,1,2.6
93274,Thanatophoric dysplasia type 2,Subtype of disorder,1,1,1,0.0
93275,"Thanatophoric dysplasia, Glasgow variant",Subtype of disorder,0,0,0,
93276,Polyostotic fibrous dysplasia,Subtype of disorder,1,1,1,
93277,Monostotic fibrous dysplasia,Subtype of disorder,1,1,1,
93279,Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis,Disorder,1,1,1,2.0
93280,"Spondyloepiphyseal dysplasia, Omani type",Disorder,0,0,0,
93282,"Spondyloepimetaphyseal dysplasia, PAPSS2 type",Disorder,1,1,1,8.5
93283,"Spondyloepiphyseal dysplasia, Kimberley type",Disorder,1,1,1,0.5
93284,Spondyloepiphyseal dysplasia tarda,Disorder,1,1,1,0.0
93292,Adenoma of pancreas,Disorder,0,1,1,
93293,Okihiro syndrome,Disorder,0,1,1,
93296,Achondrogenesis type 2,Subtype of disorder,1,1,1,0.0
93297,Hypochondrogenesis,Subtype of disorder,1,1,1,0.0
93298,Achondrogenesis type 1B,Subtype of disorder,1,1,1,0.0
93299,Achondrogenesis type 1A,Subtype of disorder,1,1,1,0.0
93301,"Brachyolmia type 1, Hobaek type",Disorder,0,0,0,
93302,"Brachyolmia, Maroteaux type",Disorder,0,1,1,2.0
93303,"Brachyolmia type 1, Toledo type",Disorder,0,0,0,
93304,Autosomal dominant brachyolmia,Disorder,1,1,1,
93307,Multiple epiphyseal dysplasia type 4,Disorder,1,1,1,0.0
93308,Multiple epiphyseal dysplasia type 1,Disorder,1,1,1,0.0
93311,Multiple epiphyseal dysplasia type 5,Disorder,1,1,1,9.0
93313,"OBSOLETE: Multiple epiphyseal dysplasia, unclassified type",Disorder,0,0,0,
93314,"Spondylometaphyseal dysplasia, Kozlowski type",Disorder,1,1,1,0.0
93315,"Spondylometaphyseal dysplasia, 'corner fracture' type",Disorder,2,1,1,15.0
93316,"Spondylometaphyseal dysplasia, Schmidt type",Disorder,1,1,1,3.5
93317,"Spondylometaphyseal dysplasia, Sedaghatian type",Disorder,1,1,1,4.5
93320,Isolated ulnar hemimelia,Disorder,0,1,1,0.0
93321,Isolated radial hemimelia,Disorder,2,1,1,2.5
93322,Isolated tibial hemimelia,Disorder,1,1,1,0.1
93323,Isolated fibular hemimelia,Disorder,0,1,1,1.1033
93324,Autosomal recessive Kenny-Caffey syndrome,Subtype of disorder,1,1,1,
93325,Autosomal dominant Kenny-Caffey syndrome,Subtype of disorder,1,1,1,
93328,Autosomal dominant omodysplasia,Subtype of disorder,1,1,1,
93329,Autosomal recessive omodysplasia,Subtype of disorder,1,1,1,11.5
93333,Pelviscapular dysplasia,Disorder,1,1,1,2.0
93334,Postaxial polydactyly type A,Disorder,6,1,1,15.699999999999998
93335,Postaxial polydactyly type B,Disorder,2,1,1,43.5
93336,Polydactyly of a triphalangeal thumb,Disorder,2,1,1,
93337,Polydactyly of an index finger,Disorder,0,1,1,0.0
93338,Polysyndactyly,Disorder,1,1,1,
93339,Polydactyly of a biphalangeal thumb and/or hallux,Disorder,1,1,1,
93346,"Spondyloepimetaphyseal dysplasia congenita, Strudwick type",Disorder,1,1,1,15.0
93347,Anauxetic dysplasia,Disorder,3,1,1,5.0
93349,X-linked spondyloepimetaphyseal dysplasia,Disorder,1,1,1,
93351,"Spondyloepimetaphyseal dysplasia, Irapa type",Disorder,0,1,1,0.0
93352,"Spondyloepimetaphyseal dysplasia, Shohat type",Disorder,1,1,1,2.5
93356,"Spondyloepimetaphyseal dysplasia, Missouri type",Disorder,1,1,1,7.0
93357,SPONASTRIME dysplasia,Disorder,1,1,1,8.0
93358,Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome,Disorder,1,1,1,13.5
93359,OBSOLETE: Spondyloepimetaphyseal dysplasia with joint laxity,Disorder,0,0,0,
93360,"Spondyloepimetaphyseal dysplasia with joint laxity, leptodactylic type",Disorder,1,1,1,0.0
93365,OBSOLETE: CINCA syndrome with NLRP3 mutations,Subtype of disorder,0,0,0,
93367,OBSOLETE: CINCA syndrome without NLRP3 mutations,Subtype of disorder,0,0,0,
93372,Familial hypocalciuric hypercalcemia type 1,Subtype of disorder,1,1,1,26.966666666666665
93382,Brachydactyly type A6,Disorder,0,1,1,3.5
93383,Brachydactyly type B,Disorder,0,1,1,0.0
93384,Brachydactyly type C,Disorder,2,1,1,0.0
93385,NON RARE IN EUROPE: Brachydactyly type D,Disorder,0,0,0,
93387,Brachydactyly type E,Disorder,2,1,1,0.0
93388,Brachydactyly type A1,Disorder,3,1,1,0.0
93389,Brachydactyly type A5,Disorder,0,0,0,
93393,NON RARE IN EUROPE: Brachydactyly type A3,Disorder,0,0,0,
93394,Brachydactyly type A4,Disorder,0,1,1,0.0
93395,Ballard syndrome,Disorder,0,0,0,
93396,Brachydactyly type A2,Disorder,3,1,1,0.0
93397,Brachydactyly type A7,Disorder,0,1,1,0.5
93398,Genochondromatosis type 2,Disorder,0,1,1,5.0
93399,Juvenile sialidosis type 2,Subtype of disorder,1,1,1,
93400,Congenital sialidosis type 2,Subtype of disorder,1,1,1,
93402,Syndactyly type 1,Disorder,0,1,1,12.5
93403,Syndactyly type 2,Disorder,0,1,1,0.0
93404,Syndactyly type 3,Disorder,1,1,1,0.0
93405,Syndactyly type 4,Disorder,2,1,1,2.0
93406,Syndactyly type 5,Disorder,1,1,1,5.0
93409,"Brachydactyly-syndactyly, Zhao type",Disorder,1,1,1,1.0
93419,Rare bone disease,Group of disorders,0,0,0,
93420,FGFR3-related chondrodysplasia,Group of disorders,0,0,0,8.1
93421,Type 2 collagen-related bone disorder,Group of disorders,0,0,0,
93422,Type 11 collagen-related bone disorder,Group of disorders,0,0,0,
93423,Sulfation-related bone disorder,Group of disorders,0,0,0,
93424,OBSOLETE: Perlecan-related bone disorder,Group of disorders,0,0,0,
93425,Filamin-related bone disorder,Group of disorders,0,0,0,
93426,Ciliopathies with major skeletal involvement,Group of disorders,0,0,0,
93427,OBSOLETE: Metatropic dysplasias,Group of disorders,0,0,0,
93429,Multiple epiphyseal dysplasia and pseudoachondroplasia,Group of disorders,0,0,0,
93430,Multiple metaphyseal dysplasia,Group of disorders,0,0,0,
93434,Spondylodysplastic dysplasia,Group of disorders,0,0,0,
93435,OBSOLETE: Moderate spondylodysplastic dysplasia,Group of disorders,0,0,0,
93436,Acromelic dysplasia,Group of disorders,0,0,0,
93437,Acromesomelic dysplasia,Group of disorders,0,0,0,
93438,Mesomelic and rhizo-mesomelic dysplasia,Group of disorders,0,0,0,
93439,Campomelic dysplasia and related disorders,Group of disorders,0,0,0,
93440,Slender bone dysplasia,Group of disorders,0,0,0,
93441,Primary bone dysplasia with multiple joint dislocations,Group of disorders,0,0,0,
93442,Chondrodysplasia punctata,Group of disorders,0,0,0,
93443,Neonatal osteosclerotic dysplasia,Group of disorders,0,0,0,
93444,Primary bone dysplasia with increased bone density,Group of disorders,0,0,0,
93445,OBSOLETE: Bone disease with increased bone density and metaphyseal or diaphyseal involvement,Group of disorders,0,0,0,
93446,Primary bone dysplasia with decreased bone density,Group of disorders,0,0,0,
93447,Primary bone dysplasia with defective bone mineralization,Group of disorders,0,0,0,
93448,Lysosomal storage disease with skeletal involvement,Group of disorders,0,0,0,
93449,Primary osteolysis,Group of disorders,0,0,0,
93450,Primary bone dysplasia with disorganized development of skeletal components,Group of disorders,0,0,0,
93451,Cleidocranial dysplasia and isolated cranial ossification defect,Group of disorders,0,0,0,
93452,OBSOLETE: Craniosynostosis syndrome or cranial ossification disease,Group of disorders,0,0,0,
93453,Dysostosis with predominant craniofacial involvement,Group of disorders,0,0,0,
93454,Dysostosis with predominant vertebral and costal involvement,Group of disorders,0,0,0,
93455,Patellar dysostosis,Group of disorders,0,0,0,
93456,OBSOLETE: Brachydactyly group,Group of disorders,0,0,0,
93457,Non-syndromic limb reduction defect,Group of disorders,0,0,0,
93458,"Non-syndromic polydactyly, syndactyly and/or hyperphalangy",Group of disorders,0,0,0,
93459,Syndrome with synostosis or other joint formation defect,Group of disorders,0,0,0,
93460,Overgrowth syndrome,Group of disorders,0,0,0,
93461,Chromosomal disease with overgrowth,Group of disorders,0,0,0,
93465,Lethal chondrodysplasia,Group of disorders,0,0,0,
93466,OBSOLETE: Limb-girdle bone anomaly,Group of disorders,0,0,0,
93469,OBSOLETE: Harmonic micromelia,Group of disorders,0,0,0,
93470,OBSOLETE: Dysharmonic micromelia,Group of disorders,0,0,0,
93471,OBSOLETE: Miscellaneous metabolic disease associated with bone anomaly,Group of disorders,0,0,0,
93472,OBSOLETE: Dysmorphic syndrome associated with bone anomaly,Group of disorders,0,0,0,
93473,Hurler syndrome,Subtype of disorder,1,1,1,0.48636363636363633
93474,Scheie syndrome,Subtype of disorder,1,1,1,0.135
93476,Hurler-Scheie syndrome,Subtype of disorder,1,1,1,0.12
93545,Renal or urinary tract malformation,Group of disorders,0,0,0,
93546,Non-syndromic renal or urinary tract malformation,Group of disorders,0,0,0,
93547,Syndromic renal or urinary tract malformation,Group of disorders,0,0,0,
93548,Glomerular disease,Group of disorders,0,0,0,
93550,OBSOLETE: Basement membrane disease,Group of disorders,0,0,0,
93551,OBSOLETE: Secondary glomerular disease,Group of disorders,0,0,0,
93552,Pediatric systemic lupus erythematosus,Disorder,4,1,1,0.9
93554,Mixed cryoglobulinemia type II,Subtype of disorder,0,1,1,0.0
93555,Mixed cryoglobulinemia type III,Subtype of disorder,0,1,1,0.0
93556,Heavy chain deposition disease,Subtype of disorder,0,0,0,
93557,Light and heavy chain deposition disease,Subtype of disorder,0,0,0,
93558,Light chain deposition disease,Subtype of disorder,0,0,0,
93559,C3 deposition glomerulonephritis without proliferation,Disorder,0,0,0,
93560,AApoAI amyloidosis,Subtype of disorder,1,1,1,
93561,ALys amyloidosis,Subtype of disorder,1,1,1,3.5
93562,AFib amyloidosis,Subtype of disorder,1,1,1,
93564,OBSOLETE: Pediatric polyarteritis nodosa,Subtype of disorder,0,0,0,
93566,OBSOLETE: Pediatric Sjögren syndrome,Subtype of disorder,0,0,0,
93567,OBSOLETE: Pediatric systemic sclerosis,Subtype of disorder,0,0,0,
93568,Juvenile polymyositis,Disorder,0,1,1,
93569,NON RARE IN EUROPE: Polymyalgia rheumatica,Disorder,0,0,0,
93571,Dense deposit disease,Subtype of disorder,2,1,1,0.25
93573,Thrombotic microangiopathy,Group of disorders,0,0,0,
93575,OBSOLETE: Atypical hemolytic uremic syndrome with C3 anomaly,Subtype of disorder,0,0,0,
93576,OBSOLETE: Atypical hemolytic uremic syndrome with MCP/CD46 anomaly,Subtype of disorder,0,0,0,
93578,OBSOLETE: Atypical hemolytic uremic syndrome with B factor anomaly,Subtype of disorder,0,0,0,
93579,OBSOLETE: Atypical hemolytic uremic syndrome with H factor anomaly,Subtype of disorder,0,0,0,
93580,OBSOLETE: Atypical hemolytic uremic syndrome with I factor anomaly,Subtype of disorder,0,0,0,
93581,Atypical hemolytic uremic syndrome with anti-factor H antibodies,Subtype of disorder,0,0,0,
93583,Congenital thrombotic thrombocytopenic purpura,Subtype of disorder,1,1,1,41.0
93585,Immune-mediated thrombotic thrombocytopenic purpura,Subtype of disorder,0,1,1,0.0
93587,Genetic cystic renal disease,Group of disorders,0,0,0,
93589,Late-onset nephronophthisis,Subtype of disorder,3,1,1,
93591,Infantile nephronophthisis,Subtype of disorder,7,1,1,0.0
93592,Juvenile nephronophthisis,Subtype of disorder,7,1,1,
93593,Nephropathy secondary to a storage or other metabolic disease,Group of disorders,0,0,0,
93594,OBSOLETE: Alpha-1-antichymotrypsin deficiency,Disorder,0,0,0,
93598,Primary hyperoxaluria type 1,Subtype of disorder,1,1,1,0.4058333333333333
93599,Primary hyperoxaluria type 2,Subtype of disorder,1,1,1,5.0
93600,Primary hyperoxaluria type 3,Subtype of disorder,1,1,1,25.0
93601,Xanthinuria type I,Subtype of disorder,1,1,1,
93602,Xanthinuria type II,Subtype of disorder,1,1,1,
93603,Rare renal tubular disease,Group of disorders,0,0,0,
93604,OBSOLETE: Antenatal Bartter syndrome,Subtype of disorder,0,0,0,
93605,Bartter syndrome type 3,Subtype of disorder,1,1,1,0.0
93606,Nephrogenic syndrome of inappropriate antidiuresis,Disorder,1,1,1,10.5
93607,Autosomal recessive proximal renal tubular acidosis,Subtype of disorder,1,1,1,0.0
93608,Autosomal dominant distal renal tubular acidosis,Subtype of disorder,1,1,1,0.0
93609,Autosomal recessive distal renal tubular acidosis without deafness,Subtype of disorder,0,0,0,
93610,Distal renal tubular acidosis with anemia,Subtype of disorder,1,1,1,0.0
93611,Autosomal recessive distal renal tubular acidosis with deafness,Subtype of disorder,0,0,0,
93612,Cystinuria type A,Subtype of disorder,1,1,1,
93613,Cystinuria type B,Subtype of disorder,1,1,1,
93614,Hematological disorder with renal involvement,Group of disorders,0,0,0,
93616,Hemoglobin H disease,Disorder,2,1,1,402.93333333333334
93618,Rare cause of hypertension,Group of disorders,0,0,0,
93619,Rare renal tumor,Group of disorders,0,0,0,
93622,Dent disease type 1,Subtype of disorder,1,1,1,0.0
93623,Dent disease type 2,Subtype of disorder,1,1,1,0.0
93626,Rare renal disease,Group of disorders,0,0,0,
93665,Autoinflammatory syndrome,Group of disorders,0,0,0,
93668,OBSOLETE: Adult chronic recurrent multifocal osteomyelitis,Subtype of disorder,0,0,0,
93672,Juvenile dermatomyositis,Disorder,0,1,1,0.1475
93682,OBSOLETE: Pediatric Castleman disease,Subtype of disorder,0,0,0,
93685,Unicentric Castleman disease,Subtype of disorder,0,1,1,0.0
93686,OBSOLETE: Multicentric Castleman disease,Subtype of disorder,0,0,0,
93688,OBSOLETE: Non-idiopathic juvenile arthritis,Group of disorders,0,0,0,
93890,Rare developmental defect during embryogenesis,Group of disorders,0,0,0,2.86
93921,Full schwannomatosis,Disorder,4,1,1,0.029
93924,Lobar holoprosencephaly,Subtype of disorder,16,1,1,0.0
93925,Alobar holoprosencephaly,Subtype of disorder,17,1,1,0.0
93926,Midline interhemispheric variant of holoprosencephaly,Subtype of disorder,15,1,1,0.926
93928,Isolated epispadias,Subtype of disorder,0,1,1,1.2
93929,Cloacal exstrophy,Subtype of disorder,0,1,1,0.47800000000000004
93930,Classic bladder exstrophy,Subtype of disorder,2,1,1,1.7299999999999998
93932,FG syndrome type 1,Disorder,1,1,1,0.0
93937,OBSOLETE: Terminal transverse defects of arm,Disorder,0,0,0,
93938,Laryngotracheoesophageal cleft type 1,Subtype of disorder,0,1,1,0.0
93939,Laryngotracheoesophageal cleft type 2,Subtype of disorder,0,1,1,0.0
93940,Laryngotracheoesophageal cleft type 3,Subtype of disorder,0,1,1,15.0
93941,Laryngotracheoesophageal cleft type 4,Subtype of disorder,0,1,1,10.0
93942,OBSOLETE: Superior celosomia,Disorder,0,0,0,
93943,Corpus callosum dysgenesis-hypopituitarism syndrome,Disorder,0,0,0,
93944,"X-linked intellectual disability, Fichera type",Subtype of disorder,0,0,0,
93945,"X-linked intellectual disability, Porteous type",Subtype of disorder,1,1,1,
93946,Hamel cerebro-palato-cardiac syndrome,Subtype of disorder,1,1,1,2.0
93947,"X-linked intellectual disability, Golabi-Ito-Hall type",Subtype of disorder,1,1,1,1.5
93950,"X-linked intellectual disability, Sutherland-Haan type",Subtype of disorder,1,1,1,
93951,OBSOLETE: X-linked dominant intellectual disability-epilepsy syndrome,Disorder,0,0,0,
93952,"X-linked intellectual disability, Hedera type",Disorder,1,1,1,4.5
93953,Familial thyroglossal duct cyst,Disorder,0,1,1,11.0
93955,OBSOLETE: Benign essential blepharospasm,Disorder,0,0,0,
93956,OBSOLETE: Truncal dystonia,Disorder,0,0,0,
93957,OBSOLETE: Limb dystonia,Disorder,0,0,0,
93958,Oromandibular dystonia,Disorder,0,1,1,
93961,OBSOLETE: Laryngeal dyskinesia,Disorder,0,0,0,
93962,OBSOLETE: Cervical dystonia,Disorder,0,0,0,
93963,"OBSOLETE: Autosomal dominant focal dystonia, DYT7 type",Disorder,0,0,0,
93964,Blepharospasm-oromandibular dystonia syndrome,Disorder,0,1,1,
93968,Meningocele,Disorder,0,0,0,
93969,Open spinal dysraphism with a myelomeningocele,Disorder,0,1,1,
93970,Holmes-Gang syndrome,Disorder,0,0,0,
93971,Chudley-Lowry-Hoar syndrome,Disorder,0,0,0,
93972,Juberg-Marsidi syndrome,Disorder,0,0,0,
93973,Carpenter-Waziri syndrome,Disorder,0,0,0,
93974,Smith-Fineman-Myers syndrome,Disorder,0,0,0,
93975,OBSOLETE: Renier-Gabreels-Jasper syndrome,Disorder,0,0,0,
93976,Anotia,Disorder,0,1,1,0.015866666666666664
94056,Isolated humero-ulnar synostosis,Disorder,0,1,1,2.5
94058,Neovascular glaucoma,Disorder,0,1,1,24.4
94059,Uremic pruritus,Disorder,0,1,1,35.0
94061,OBSOLETE: Macrocephaly-immune deficiency-anemia syndrome,Disorder,0,0,0,
94062,NON RARE IN EUROPE: Coronary artery disease-hyperlipidemia-hypertension-diabetes-osteoporosis syndrome,Disorder,0,0,0,
94063,"12q14 microdeletion syndrome",Disorder,2,1,1,11.0
94064,Deafness-infertility syndrome,Disorder,2,1,1,1.5
94065,"15q24 microdeletion syndrome",Subtype of disorder,1,1,1,15.0
94066,Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia,Disorder,0,1,1,1.0
94068,Spondyloepiphyseal dysplasia congenita,Disorder,1,1,1,0.5
94075,Severe immune-mediated enteropathy,Group of disorders,0,0,0,
94080,Non-functioning paraganglioma,Disorder,0,1,1,
94083,Partington syndrome,Disorder,1,1,1,1.0
94084,Cerebro-oculo-facial-lymphatic syndrome,Disorder,0,0,0,
94086,Blue diaper syndrome,Disorder,0,1,1,0.0
94087,Cytophagic histiocytic panniculitis,Disorder,0,1,1,50.0
94088,Hereditary renal hypouricemia,Disorder,2,1,1,0.0
94089,Pseudohypoparathyroidism type 1B,Disorder,2,1,1,0.0
94090,Pseudohypoparathyroidism type 2,Disorder,0,1,1,0.0
94091,Mills syndrome,Disorder,0,1,1,0.12
94093,Neuroleptic malignant syndrome,Disorder,0,1,1,0.0
94095,OBSOLETE: Spondylocostal dysostosis-anal atresia-genitourinary malformation syndrome,Disorder,0,0,0,
94122,"Cerebellar ataxia, Cayman type",Disorder,1,1,1,0.0
94124,Spinocerebellar ataxia with axonal neuropathy type 1,Disorder,1,1,1,4.5
94125,Recessive mitochondrial ataxia syndrome,Disorder,1,1,1,
94145,Autosomal dominant cerebellar ataxia type I,Group of disorders,0,1,1,0.0
94147,Spinocerebellar ataxia type 7,Disorder,1,1,1,0.0
94148,Autosomal dominant cerebellar ataxia type III,Group of disorders,0,1,1,0.0
94149,Autosomal dominant cerebellar ataxia type IV,Group of disorders,0,1,1,
94150,Anonychia congenita totalis,Subtype of disorder,1,1,1,
95157,Acute hepatic porphyria,Group of disorders,0,1,1,0.0
95159,Hepatoerythropoietic porphyria,Disorder,1,1,1,20.0
95161,OBSOLETE: Chronic hepatic porphyria,Group of disorders,0,0,0,
95232,Lissencephaly due to LIS1 mutation,Disorder,1,1,1,
95409,Acute adrenal insufficiency,Disorder,0,1,1,0.0
95426,OBSOLETE: Chronic pain requiring intraspinal analgesia,Disorder,0,0,0,
95427,Secondary short bowel syndrome,Disorder,0,1,1,0.0
95428,COG8-CDG,Disorder,1,1,1,1.0
95429,Angioma serpiginosum,Disorder,0,1,1,0.0
95430,Congenital tracheomalacia,Disorder,0,1,1,0.0
95431,Twin to twin transfusion syndrome,Disorder,0,0,0,
95432,Primary progressive aphasia,Group of disorders,0,1,1,7.0
95433,Autosomal recessive spinocerebellar ataxia-blindness-deafness syndrome,Disorder,1,1,1,1.5
95434,Autosomal recessive cerebellar ataxia-movement disorder syndrome,Disorder,2,1,1,13.5
95443,Mesocardia,Disorder,0,0,0,
95448,Congenital aortic valve atresia,Subtype of disorder,0,0,0,
95449,OBSOLETE: Congenital aortic valve insufficiency,Disorder,0,0,0,
95455,Stevens-Johnson syndrome/toxic epidermal necrolysis spectrum,Disorder,0,1,1,0.2738
95457,Tricuspid valve agenesis,Disorder,0,0,0,
95458,OBSOLETE: Tricuspid valve prolapse,Disorder,0,0,0,
95459,Congenital tricuspid stenosis,Disorder,0,1,1,
95461,Straddling or overriding tricuspid valve,Disorder,0,0,0,
95462,Accessory tricuspid valve tissue,Disorder,0,0,0,
95463,Anomaly of the tricuspid subvalvular apparatus,Group of disorders,0,0,0,
95464,Congenital mitral valve insufficiency and/or stenosis,Group of disorders,0,0,0,
95465,Cleft mitral valve,Disorder,0,0,0,
95474,Double-orifice mitral valve,Subtype of disorder,0,0,0,
95483,Univentricular cardiopathy,Group of disorders,0,0,0,
95484,OBSOLETE: Aneurysm or dilatation of ascending aorta,Disorder,0,0,0,
95485,Arterial duct anomaly,Group of disorders,0,0,0,
95486,Premature closure of the arterial duct,Disorder,0,0,0,
95487,NON RARE IN EUROPE: Atypical arterial duct,Disorder,0,0,0,
95488,Non-acquired pituitary hormone deficiency,Group of disorders,0,0,0,
95491,Congenital coronary artery aneurysm,Disorder,0,0,0,
95493,OBSOLETE: Abnormal origin or aberrant course of coronary artery,Group of disorders,0,0,0,
95494,"Combined pituitary hormone deficiencies, genetic forms",Disorder,7,1,1,0.0
95495,Disease associated with non-acquired combined pituitary hormone deficiency,Group of disorders,0,0,0,
95496,Pituitary stalk interruption syndrome,Disorder,7,1,1,0.0
95498,Congenital anomaly of superior vena cava,Group of disorders,0,0,0,
95499,Congenital anomaly of the inferior vena cava,Group of disorders,0,0,0,
95500,Congenital anomaly of the coronary sinus,Group of disorders,0,0,0,
95501,OBSOLETE: Congenital central diabetes insipidus,Group of disorders,0,0,0,
95502,Acquired pituitary hormone deficiency,Group of disorders,0,0,0,
95503,Pituitary hormone deficiency of tumoral origin,Group of disorders,0,0,0,
95504,OBSOLETE: Metastatic pituitary hormone deficiency,Group of disorders,0,0,0,
95505,Pituitary hormone deficiency of meningeal origin,Group of disorders,0,0,0,
95506,Primary hypophysitis,Group of disorders,0,1,1,0.0
95507,Congenital anomaly of hepatic vein,Disorder,0,0,0,
95510,Atrial appendage anomaly,Group of disorders,0,0,0,
95512,Adenohypophysitis,Disorder,0,1,1,
95513,Panhypophysitis,Disorder,0,1,1,
95611,Pituitary hormone deficiency of vascular origin,Group of disorders,0,0,0,
95613,Pituitary apoplexy,Disorder,0,1,1,0.0
95614,OBSOLETE: Pituitary deficiency secondary to meningeal hemorrhage,Disorder,0,0,0,
95615,OBSOLETE: Pituitary deficiency secondary to an anevrysm,Group of disorders,0,0,0,
95617,Pituitary hormone deficiency secondary to a granulomatous disease,Group of disorders,0,0,0,
95618,Pituitary hormone deficiency secondary to storage disease,Group of disorders,0,0,0,
95619,Post-traumatic pituitary deficiency,Disorder,0,1,1,
95621,OBSOLETE: Postsurgical hypopituitarism,Disorder,0,0,0,
95622,OBSOLETE: Radiation-induced hypopituitarism,Disorder,0,0,0,
95623,OBSOLETE: Posttraumatic hypopituitarism,Disorder,0,0,0,
95625,OBSOLETE: Posttraumatic diabetes insipidus,Disorder,0,0,0,
95626,Acquired arginine vasopressin deficiency,Subtype of disorder,0,1,1,0.0
95698,NON RARE IN EUROPE: Non-classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency,Disorder,0,0,0,
95699,Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,Disorder,1,1,1,0.375
95700,Familial adrenal hypoplasia with absent pituitary luteinizing hormone,Disorder,0,1,1,1.5
95701,OBSOLETE: Congenital adrenal hypoplasia of maternal cause,Disorder,0,0,0,
95702,X-linked adrenal hypoplasia congenita,Disorder,1,1,1,8.0
95706,Non-syndromic posterior hypospadias,Disorder,2,1,1,9.625
95707,Idiopathic isolated micropenis,Disorder,0,1,1,0.0
95708,Rare precocious puberty,Group of disorders,0,0,0,
95709,Rare acquired premature ovarian failure,Group of disorders,0,0,0,
95710,Rare non-acquired premature ovarian failure,Group of disorders,0,0,0,
95711,Congenital hypothyroidism due to developmental anomaly,Group of disorders,0,0,0,21.3
95712,Thyroid ectopia,Disorder,2,1,1,14.3
95713,Athyreosis,Disorder,6,1,1,3.5
95714,Primary congenital hypothyroidism without thyroid developmental anomaly,Group of disorders,0,0,0,0.0
95715,Congenital hypothyroidism due to transplacental passage of TSH-binding inhibitory antibodies,Disorder,0,1,1,1.0
95716,Familial thyroid dyshormonogenesis,Disorder,6,1,1,3.5566666666666666
95717,Idiopathic congenital hypothyroidism,Disorder,0,1,1,0.0
95718,Congenital thyroid malformation without hypothyroidism,Group of disorders,0,0,0,
95719,Thyroid hemiagenesis,Disorder,0,1,1,25.0
95720,Thyroid hypoplasia,Disorder,3,1,1,3.5
95721,OBSOLETE: Thyroid pyramidal lobe,Disorder,0,0,0,
95854,Levocardia,Disorder,0,0,0,
96055,Tetrasomy 21 syndrome,Disorder,0,1,1,6.5
96059,Mosaic trisomy 4 syndrome,Disorder,0,1,1,3.5
96060,Mosaic trisomy 5 syndrome,Disorder,0,1,1,4.0
96061,Mosaic trisomy 8 syndrome,Disorder,0,1,1,0.0
96063,Mosaic trisomy 10 syndrome,Disorder,0,1,1,3.5
96068,Mosaic trisomy 22 syndrome,Disorder,0,1,1,19.5
96069,Distal duplication 1p36 syndrome,Disorder,0,1,1,
96070,Distal duplication 2p syndrome,Disorder,0,1,1,
96071,Distal duplication 3p syndrome,Disorder,0,1,1,
96072,"4p16.3 microduplication syndrome",Disorder,0,1,1,
96074,Distal duplication 7p syndrome,Disorder,0,1,1,
