"OrphaCode","Name","DisorderGroup","gene_count","onset_count","inheritance_count","avg_prevalence"
105,Atresia of urethra,Disorder,0,1,1,0.0
106,NON RARE IN EUROPE: Autism,Disorder,0,0,0,
107,BOR syndrome,Disorder,3,1,1,2.5
108,Babesiosis,Disorder,0,1,1,0.0
109,Bannayan-Riley-Ruvalcaba syndrome,Subtype of disorder,1,1,1,0.0
110,Bardet-Biedl syndrome,Disorder,26,1,1,2.3850000000000002
111,Barth syndrome,Disorder,1,1,1,0.34249999999999997
112,Bartter syndrome,Disorder,0,1,1,0.48
113,Bazex-Dupré-Christol syndrome,Disorder,0,1,1,71.5
114,Auriculoosteodysplasia,Disorder,0,1,1,1.0
115,Congenital contractural arachnodactyly,Disorder,1,1,1,0.0
116,Beckwith-Wiedemann syndrome,Disorder,0,1,1,4.575
117,Behçet disease,Disorder,15,1,1,17.888333333333335
118,Beta-mannosidosis,Disorder,1,1,1,0.11000000000000001
119,Beta-sarcoglycan-related limb-girdle muscular dystrophy R4,Disorder,1,1,1,0.085
120,NON RARE IN EUROPE: Pernicious anemia,Disorder,0,0,0,
122,Birt-Hogg-Dubé syndrome,Disorder,2,1,1,0.5
123,Björnstad syndrome,Disorder,1,1,1,16.5
124,Diamond-Blackfan anemia,Disorder,26,1,1,0.46066666666666667
125,Bloom syndrome,Disorder,1,1,1,100.69333333333333
126,Blepharophimosis-ptosis-epicanthus inversus syndrome,Disorder,0,1,1,0.0
127,Borjeson-Forssman-Lehmann syndrome,Disorder,1,1,1,25.0
128,Diphyllobothriasis,Disorder,0,1,1,0.44
129,Pseudopelade of Brocq,Disorder,0,1,1,0.0
130,Brugada syndrome,Disorder,22,1,1,47.5
131,Budd-Chiari syndrome,Disorder,3,1,1,0.3413333333333333
132,Hereditary butyrylcholinesterase deficiency,Disorder,1,1,1,0.0
133,Chronic beryllium disease,Disorder,1,1,1,0.0
134,Beta-ketothiolase deficiency,Disorder,1,1,1,0.532
135,CACH syndrome,Disorder,0,1,1,74.0
136,Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy,Disorder,1,1,1,2.6666666666666665
137,Congenital disorder of glycosylation,Group of disorders,0,1,1,0.75
138,CHARGE syndrome,Disorder,2,1,1,4.75
139,CHILD syndrome,Disorder,1,1,1,30.0
140,Campomelic dysplasia,Disorder,1,1,1,0.93765
141,Canavan disease,Disorder,0,1,1,2.6666666666666665
142,Anaplastic thyroid carcinoma,Disorder,0,1,1,0.135
143,Parathyroid carcinoma,Disorder,1,1,1,0.029703703703703704
144,Lynch syndrome,Disorder,9,1,1,0.0
145,Hereditary breast and/or ovarian cancer syndrome,Disorder,15,1,1,0.0
146,Differentiated thyroid carcinoma,Disorder,29,1,1,2.4166666666666665
147,Carbamoyl-phosphate synthetase 1 deficiency,Disorder,1,1,1,0.0784
148,Multiple carboxylase deficiency,Group of disorders,0,1,1,0.0
150,Nasopharyngeal carcinoma,Disorder,1,1,1,0.4625185185185185
151,OBSOLETE: Familial renal cell carcinoma,Group of disorders,0,0,0,
154,Familial isolated dilated cardiomyopathy,Disorder,53,1,1,8.803333333333333
155,NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy,Disorder,0,0,0,
156,Carnitine palmitoyl transferase 1A deficiency,Disorder,1,1,1,15.2
157,Carnitine palmitoyltransferase II deficiency,Disorder,0,1,1,76.55
